Brand Name,Website,Country,Category,Price Tier,API/Affiliate Available,Integration Type,Priority,Source,Logo Path,Logo Status
Nordstrom,nordstrom.com,US,Department Store,Mid-Luxury,Yes,Affiliate,Critical,Existing,,MISSING
Nordstrom Rack,nordstromrack.com,US,Department Store,Mid,Yes,Affiliate,Critical,Existing,,MISSING
Bloomingdale's,bloomingdales.com,US,Department Store,Mid-Luxury,Yes,Affiliate,Critical,LTK,,MISSING
Macy's,macys.com,US,Department Store,Mid,Yes,Affiliate,Critical,Existing,,MISSING
Neiman Marcus,neimanmarcus.com,US,Department Store,Luxury,Yes,Affiliate,High,LTK,,MISSING
Saks Fifth Avenue,saksfifthavenue.com,US,Department Store,Luxury,Yes,Affiliate,High,Existing,,MISSING
Bergdorf Goodman,bergdorfgoodman.com,US,Department Store,Luxury,Yes,Affiliate,High,LTK,,MISSING
Dillard's,dillards.com,US,Department Store,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Belk,belk.com,US,Department Store,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Von Maur,vonmaur.com,US,Department Store,Mid,Yes,Affiliate,Low,LTK,,MISSING
Target,target.com,US,Mass Market,Budget,Yes,API,Critical,Existing,,MISSING
Walmart,walmart.com,US,Mass Market,Budget,Yes,API,Critical,Existing,,MISSING
Amazon Fashion,amazon.com,US,Marketplace,All,Yes,API,Critical,Existing,,MISSING
Old Navy,oldnavy.com,US,Fast Fashion,Budget,Yes,Affiliate,Critical,Existing,,MISSING
Gap,gap.com,US,Fast Fashion,Mid,Yes,Affiliate,Critical,Existing,,MISSING
Banana Republic,bananarepublic.com,US,Contemporary,Mid,Yes,Affiliate,High,LTK,,MISSING
Zara,zara.com,Spain,Fast Fashion,Mid,Yes,Affiliate,Critical,Existing,,MISSING
H&M,hm.com,Sweden,Fast Fashion,Budget,Yes,Affiliate,Critical,Existing,,MISSING
Uniqlo,uniqlo.com,Japan,Fast Fashion,Budget,Yes,Affiliate,High,LTK,,MISSING
Mango,mango.com,Spain,Fast Fashion,Mid,Yes,Affiliate,High,Competitor,,MISSING
COS,cosstores.com,Sweden,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
& Other Stories,stories.com,Sweden,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Monki,monki.com,Sweden,Fast Fashion,Budget,Yes,Affiliate,Medium,Competitor,,MISSING
Weekday,weekday.com,Sweden,Fast Fashion,Budget,Yes,Affiliate,Medium,Competitor,,MISSING
ASOS,asos.com,UK,Fast Fashion,Budget-Mid,Yes,Affiliate,Critical,Existing,,MISSING
Boohoo,boohoo.com,UK,Fast Fashion,Budget,Yes,Affiliate,High,Competitor,,MISSING
PrettyLittleThing,prettylittlething.com,UK,Fast Fashion,Budget,Yes,Affiliate,High,Competitor,,MISSING
Missguided,missguided.com,UK,Fast Fashion,Budget,Yes,Affiliate,High,Competitor,,MISSING
Nasty Gal,nastygal.com,US,Fast Fashion,Mid,Yes,Affiliate,High,Competitor,,MISSING
Forever 21,forever21.com,US,Fast Fashion,Budget,Yes,Affiliate,High,Existing,,MISSING
Fashion Nova,fashionnova.com,US,Fast Fashion,Budget,Yes,Affiliate,High,LTK,,MISSING
SHEIN,shein.com,China,Fast Fashion,Budget,Yes,Affiliate,Critical,Existing,,MISSING
Romwe,romwe.com,China,Fast Fashion,Budget,Yes,Affiliate,Medium,LTK,,MISSING
Zaful,zaful.com,China,Fast Fashion,Budget,Yes,Affiliate,Medium,LTK,,MISSING
Cider,shopcider.com,China,Fast Fashion,Budget,No,Manual,Medium,Existing,,MISSING
Princess Polly,princesspolly.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor,,MISSING
Peppermayo,peppermayo.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor,,MISSING
Showpo,showpo.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor,,MISSING
White Fox Boutique,whitefoxboutique.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor,,MISSING
Beginning Boutique,beginningboutique.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Sabo Skirt,saboskirt.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Tiger Mist,tigermist.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,ShopMy,,MISSING
Revolve,revolve.com,US,Contemporary,Mid-Luxury,Yes,Affiliate,Critical,Existing,,MISSING
FWRD,fwrd.com,US,Contemporary,Luxury,Yes,Affiliate,High,Competitor,,MISSING
Shopbop,shopbop.com,US,Contemporary,Mid-Luxury,Yes,Affiliate,High,LTK,,MISSING
Net-a-Porter,net-a-porter.com,UK,Luxury,Luxury,Yes,Affiliate,High,LTK,,MISSING
Mytheresa,mytheresa.com,Germany,Luxury,Luxury,Yes,Affiliate,High,LTK,,MISSING
Farfetch,farfetch.com,UK,Luxury,Luxury,Yes,Affiliate,High,LTK,,MISSING
SSENSE,ssense.com,Canada,Luxury,Luxury,Yes,Affiliate,High,LTK,,MISSING
Matches Fashion,matchesfashion.com,UK,Luxury,Luxury,Yes,Affiliate,High,LTK,,MISSING
24S,24s.com,France,Luxury,Luxury,Yes,Affiliate,Medium,Competitor,,MISSING
Luisaviaroma,luisaviaroma.com,Italy,Luxury,Luxury,Yes,Affiliate,Medium,Competitor,,MISSING
Anthropologie,anthropologie.com,US,Contemporary,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Free People,freepeople.com,US,Contemporary,Mid-High,Yes,Affiliate,Critical,Existing,,MISSING
Urban Outfitters,urbanoutfitters.com,US,Contemporary,Mid,Yes,Affiliate,High,Existing,,MISSING
Madewell,madewell.com,US,Contemporary,Mid,Yes,Affiliate,High,LTK,,MISSING
J.Crew,jcrew.com,US,Contemporary,Mid,Yes,Affiliate,High,LTK,,MISSING
J.Crew Factory,factory.jcrew.com,US,Contemporary,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Everlane,everlane.com,US,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Reformation,thereformation.com,US,Contemporary,Mid-High,Yes,Affiliate,Critical,Competitor,,MISSING
Ganni,ganni.com,Denmark,Designer,High,Yes,Affiliate,Critical,Competitor,,MISSING
Staud,staud.clothing,US,Designer,High,Yes,Affiliate,Critical,Competitor,,MISSING
Nanushka,nanushka.com,Hungary,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Réalisation Par,realisationpar.com,Australia,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Rixo,rixo.co.uk,UK,Designer,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Rotate Birger Christensen,rotatebirgerchristensen.com,Denmark,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Jacquemus,jacquemus.com,France,Designer,Luxury,Limited,Manual,High,Competitor,,MISSING
Ami Paris,amiparis.com,France,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Acne Studios,acnestudios.com,Sweden,Designer,Luxury,Yes,Affiliate,High,Competitor,,MISSING
Lemaire,lemaire.fr,France,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
The Row,therow.com,US,Designer,Ultra-Luxury,No,Manual,Low,Competitor,,MISSING
Toteme,toteme-studio.com,Sweden,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Khaite,khaite.com,US,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Theory,theory.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Vince,vince.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Rag & Bone,rag-bone.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Equipment,equipment.fr,France,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Frame,frame-store.com,US,Contemporary,High,Yes,Affiliate,High,Phia,,MISSING
Paige,paige.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Veronica Beard,veronicabeard.com,US,Contemporary,High,Yes,Affiliate,High,Phia,,MISSING
L'Agence,lagencefashion.com,US,Contemporary,High,Yes,Affiliate,High,Phia,,MISSING
Alice + Olivia,aliceandolivia.com,US,Designer,High,Yes,Affiliate,High,Phia,,MISSING
Tory Burch,toryburch.com,US,Designer,High,Yes,Affiliate,High,LTK,,MISSING
Club Monaco,clubmonaco.com,Canada,Contemporary,Mid,Yes,Affiliate,High,Phia,,MISSING
Sandro,sandro-paris.com,France,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Maje,maje.com,France,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Claudie Pierlot,claudiepierlot.com,France,Contemporary,Mid-High,Yes,Affiliate,Medium,Phia,,MISSING
Ba&sh,ba-sh.com,France,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
The Kooples,thekooples.com,France,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Reiss,reiss.com,UK,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
AllSaints,allsaints.com,UK,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Ted Baker,tedbaker.com,UK,Contemporary,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Karen Millen,karenmillen.com,UK,Contemporary,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Whistles,whistles.com,UK,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Lululemon,lululemon.com,Canada,Activewear,High,Yes,Affiliate,Critical,LTK,,MISSING
Athleta,athleta.com,US,Activewear,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Alo Yoga,aloyoga.com,US,Activewear,High,Yes,Affiliate,High,LTK,,MISSING
Outdoor Voices,outdoorvoices.com,US,Activewear,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Girlfriend Collective,girlfriend.com,Canada,Activewear,Mid,Yes,Affiliate,High,Competitor,,MISSING
Nike,nike.com,US,Activewear,Mid,Yes,Affiliate,Critical,LTK,,MISSING
Adidas,adidas.com,Germany,Activewear,Mid,Yes,Affiliate,Critical,LTK,,MISSING
Puma,puma.com,Germany,Activewear,Mid,Yes,Affiliate,High,LTK,,MISSING
Reebok,reebok.com,US,Activewear,Mid,Yes,Affiliate,High,LTK,,MISSING
Under Armour,underarmour.com,US,Activewear,Mid,Yes,Affiliate,High,LTK,,MISSING
Gymshark,gymshark.com,UK,Activewear,Mid,Yes,Affiliate,High,LTK,,MISSING
Fabletics,fabletics.com,US,Activewear,Budget-Mid,Yes,Affiliate,High,LTK,,MISSING
Carbon38,carbon38.com,US,Activewear,Mid-High,Yes,Affiliate,Medium,LTK,,MISSING
Bandier,bandier.com,US,Activewear,High,Yes,Affiliate,Medium,LTK,,MISSING
P.E Nation,pe-nation.com,Australia,Activewear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Set Active,setactive.co,US,Activewear,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Alo,aloyoga.com,US,Activewear,High,Yes,Affiliate,High,LTK,,MISSING
Beyond Yoga,beyondyoga.com,US,Activewear,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Spiritual Gangster,spiritualgangster.com,US,Activewear,Mid,Yes,Affiliate,Low,LTK,,MISSING
Varley,varley.com,UK,Activewear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Live The Process,livetheprocess.com,US,Activewear,High,Yes,Affiliate,Low,Competitor,,MISSING
Levi's,levis.com,US,Denim,Mid,Yes,Affiliate,Critical,LTK,,MISSING
AG Jeans,agjeans.com,US,Denim,High,Yes,Affiliate,High,LTK,,MISSING
Mother Denim,motherdenim.com,US,Denim,High,Yes,Affiliate,High,LTK,,MISSING
Good American,goodamerican.com,US,Denim,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Agolde,agolde.com,US,Denim,High,Yes,Affiliate,High,LTK,,MISSING
Citizens of Humanity,citizensofhumanity.com,US,Denim,High,Yes,Affiliate,High,LTK,,MISSING
7 For All Mankind,7forallmankind.com,US,Denim,High,Yes,Affiliate,High,LTK,,MISSING
Joe's Jeans,joesjeans.com,US,Denim,Mid-High,Yes,Affiliate,Medium,LTK,,MISSING
DL1961,dl1961.com,US,Denim,Mid-High,Yes,Affiliate,Medium,LTK,,MISSING
RE/DONE,redone.com,US,Denim,High,Yes,Affiliate,High,Competitor,,MISSING
Boyish Jeans,boyish.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Grlfrnd,grlfrnd.com,US,Denim,High,Yes,Affiliate,Medium,Competitor,,MISSING
Lulus,lulus.com,US,Contemporary,Budget-Mid,Yes,Affiliate,Critical,Existing,,MISSING
Show Me Your MuMu,showmeyourmumu.com,US,Contemporary,Mid,Yes,Affiliate,High,ShopMy,,MISSING
For Love and Lemons,forloveandlemons.com,US,Designer,High,Yes,Affiliate,High,ShopMy,,MISSING
Cult Gaia,cultgaia.com,US,Designer,High,Yes,Affiliate,High,ShopMy,,MISSING
Zimmermann,zimmermannwear.com,Australia,Designer,Luxury,Yes,Affiliate,High,ShopMy,,MISSING
FARM Rio,farmrio.com,Brazil,Contemporary,Mid-High,Yes,Affiliate,High,ShopMy,,MISSING
Faithfull The Brand,faithfullthebrand.com,Indonesia,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Spell,spell.co,Australia,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Mara Hoffman,marahoffman.com,US,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
